<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:tfc:ore/native_copper/andesite>, Andesite Native Copper
<block:tfc:ore/native_copper/basalt>, Basalt Native Copper
<block:tfc:ore/native_copper/chalk>, Chalk Native Copper
<block:tfc:ore/native_copper/chert>, Chert Native Copper
<block:tfc:ore/native_copper/claystone>, Claystone Native Copper
<block:tfc:ore/native_copper/conglomerate>, Conglomerate Native Copper
<block:tfc:ore/native_copper/dacite>, Dacite Native Copper
<block:tfc:ore/native_copper/diorite>, Diorite Native Copper
<block:tfc:ore/native_copper/dolomite>, Dolomite Native Copper
<block:tfc:ore/native_copper/gabbro>, Gabbro Native Copper
<block:tfc:ore/native_copper/gneiss>, Gneiss Native Copper
<block:tfc:ore/native_copper/granite>, Granite Native Copper
<block:tfc:ore/native_copper/limestone>, Limestone Native Copper
<block:tfc:ore/native_copper/marble>, Marble Native Copper
<block:tfc:ore/native_copper/phyllite>, Phyllite Native Copper
<block:tfc:ore/native_copper/quartzite>, Quartzite Native Copper
<block:tfc:ore/native_copper/rhyolite>, Rhyolite Native Copper
<block:tfc:ore/native_copper/rocksalt>, Rocksalt Native Copper
<block:tfc:ore/native_copper/schist>, Schist Native Copper
<block:tfc:ore/native_copper/shale>, Shale Native Copper
<block:tfc:ore/native_copper/slate>, Slate Native Copper
<block:tfc:ore/native_gold/andesite>, Andesite Native Gold
<block:tfc:ore/native_gold/basalt>, Basalt Native Gold
<block:tfc:ore/native_gold/chalk>, Chalk Native Gold
<block:tfc:ore/native_gold/chert>, Chert Native Gold
<block:tfc:ore/native_gold/claystone>, Claystone Native Gold
<block:tfc:ore/native_gold/conglomerate>, Conglomerate Native Gold
<block:tfc:ore/native_gold/dacite>, Dacite Native Gold
<block:tfc:ore/native_gold/diorite>, Diorite Native Gold
<block:tfc:ore/native_gold/dolomite>, Dolomite Native Gold
<block:tfc:ore/native_gold/gabbro>, Gabbro Native Gold
<block:tfc:ore/native_gold/gneiss>, Gneiss Native Gold
<block:tfc:ore/native_gold/granite>, Granite Native Gold
<block:tfc:ore/native_gold/limestone>, Limestone Native Gold
<block:tfc:ore/native_gold/marble>, Marble Native Gold
<block:tfc:ore/native_gold/phyllite>, Phyllite Native Gold
<block:tfc:ore/native_gold/quartzite>, Quartzite Native Gold
<block:tfc:ore/native_gold/rhyolite>, Rhyolite Native Gold
<block:tfc:ore/native_gold/rocksalt>, Rocksalt Native Gold
<block:tfc:ore/native_gold/schist>, Schist Native Gold
<block:tfc:ore/native_gold/shale>, Shale Native Gold
<block:tfc:ore/native_gold/slate>, Slate Native Gold
<block:tfc:ore/native_osmium/andesite>, Native Osmium Andesite
<block:tfc:ore/native_osmium/basalt>, Native Osmium Basalt
<block:tfc:ore/native_osmium/chalk>, Native Osmium Chalk
<block:tfc:ore/native_osmium/chert>, Native Osmium Chert
<block:tfc:ore/native_osmium/claystone>, Native Osmium Claystone
<block:tfc:ore/native_osmium/conglomerate>, Native Osmium Conglomerate
<block:tfc:ore/native_osmium/dacite>, Native Osmium Dacite
<block:tfc:ore/native_osmium/diorite>, Native Osmium Diorite
<block:tfc:ore/native_osmium/dolomite>, Native Osmium Dolomite
<block:tfc:ore/native_osmium/gabbro>, Native Osmium Gabbro
<block:tfc:ore/native_osmium/gneiss>, Native Osmium Gneiss
<block:tfc:ore/native_osmium/granite>, Native Osmium Granite
<block:tfc:ore/native_osmium/limestone>, Native Osmium Limestone
<block:tfc:ore/native_osmium/marble>, Native Osmium Marble
<block:tfc:ore/native_osmium/phyllite>, Native Osmium Phyllite
<block:tfc:ore/native_osmium/quartzite>, Native Osmium Quartzite
<block:tfc:ore/native_osmium/rhyolite>, Native Osmium Rhyolite
<block:tfc:ore/native_osmium/rocksalt>, Native Osmium Rocksalt
<block:tfc:ore/native_osmium/schist>, Native Osmium Schist
<block:tfc:ore/native_osmium/shale>, Native Osmium Shale
<block:tfc:ore/native_osmium/slate>, Native Osmium Slate
<block:tfc:ore/native_platinum/andesite>, Andesite Native Platinum
<block:tfc:ore/native_platinum/basalt>, Basalt Native Platinum
<block:tfc:ore/native_platinum/chalk>, Chalk Native Platinum
<block:tfc:ore/native_platinum/chert>, Chert Native Platinum
<block:tfc:ore/native_platinum/claystone>, Claystone Native Platinum
<block:tfc:ore/native_platinum/conglomerate>, Conglomerate Native Platinum
<block:tfc:ore/native_platinum/dacite>, Dacite Native Platinum
<block:tfc:ore/native_platinum/diorite>, Diorite Native Platinum
<block:tfc:ore/native_platinum/dolomite>, Dolomite Native Platinum
<block:tfc:ore/native_platinum/gabbro>, Gabbro Native Platinum
<block:tfc:ore/native_platinum/gneiss>, Gneiss Native Platinum
<block:tfc:ore/native_platinum/granite>, Granite Native Platinum
<block:tfc:ore/native_platinum/limestone>, Limestone Native Platinum
<block:tfc:ore/native_platinum/marble>, Marble Native Platinum
<block:tfc:ore/native_platinum/phyllite>, Phyllite Native Platinum
<block:tfc:ore/native_platinum/quartzite>, Quartzite Native Platinum
<block:tfc:ore/native_platinum/rhyolite>, Rhyolite Native Platinum
<block:tfc:ore/native_platinum/rocksalt>, Rocksalt Native Platinum
<block:tfc:ore/native_platinum/schist>, Schist Native Platinum
<block:tfc:ore/native_platinum/shale>, Shale Native Platinum
<block:tfc:ore/native_platinum/slate>, Slate Native Platinum
<block:tfc:ore/native_silver/andesite>, Andesite Native Silver
<block:tfc:ore/native_silver/basalt>, Basalt Native Silver
<block:tfc:ore/native_silver/chalk>, Chalk Native Silver
<block:tfc:ore/native_silver/chert>, Chert Native Silver
<block:tfc:ore/native_silver/claystone>, Claystone Native Silver
<block:tfc:ore/native_silver/conglomerate>, Conglomerate Native Silver
<block:tfc:ore/native_silver/dacite>, Dacite Native Silver
<block:tfc:ore/native_silver/diorite>, Diorite Native Silver
<block:tfc:ore/native_silver/dolomite>, Dolomite Native Silver
<block:tfc:ore/native_silver/gabbro>, Gabbro Native Silver
<block:tfc:ore/native_silver/gneiss>, Gneiss Native Silver
<block:tfc:ore/native_silver/granite>, Granite Native Silver
<block:tfc:ore/native_silver/limestone>, Limestone Native Silver
<block:tfc:ore/native_silver/marble>, Marble Native Silver
<block:tfc:ore/native_silver/phyllite>, Phyllite Native Silver
<block:tfc:ore/native_silver/quartzite>, Quartzite Native Silver
<block:tfc:ore/native_silver/rhyolite>, Rhyolite Native Silver
<block:tfc:ore/native_silver/rocksalt>, Rocksalt Native Silver
<block:tfc:ore/native_silver/schist>, Schist Native Silver
<block:tfc:ore/native_silver/shale>, Shale Native Silver
<block:tfc:ore/native_silver/slate>, Slate Native Silver
<block:tfc:ore/olivine/andesite>, Andesite Olivine
<block:tfc:ore/olivine/basalt>, Basalt Olivine
<block:tfc:ore/olivine/chalk>, Chalk Olivine
<block:tfc:ore/olivine/chert>, Chert Olivine
<block:tfc:ore/olivine/claystone>, Claystone Olivine
<block:tfc:ore/olivine/conglomerate>, Conglomerate Olivine
<block:tfc:ore/olivine/dacite>, Dacite Olivine
<block:tfc:ore/olivine/diorite>, Diorite Olivine
<block:tfc:ore/olivine/dolomite>, Dolomite Olivine
<block:tfc:ore/olivine/gabbro>, Gabbro Olivine
<block:tfc:ore/olivine/gneiss>, Gneiss Olivine
<block:tfc:ore/olivine/granite>, Granite Olivine
<block:tfc:ore/olivine/limestone>, Limestone Olivine
<block:tfc:ore/olivine/marble>, Marble Olivine
<block:tfc:ore/olivine/phyllite>, Phyllite Olivine
<block:tfc:ore/olivine/quartzite>, Quartzite Olivine
<block:tfc:ore/olivine/rhyolite>, Rhyolite Olivine
<block:tfc:ore/olivine/rocksalt>, Rocksalt Olivine
<block:tfc:ore/olivine/schist>, Schist Olivine
<block:tfc:ore/olivine/shale>, Shale Olivine
<block:tfc:ore/olivine/slate>, Slate Olivine
<block:tfc:ore/petrified_wood/andesite>, Andesite Petrified Wood
<block:tfc:ore/petrified_wood/basalt>, Basalt Petrified Wood
<block:tfc:ore/petrified_wood/chalk>, Chalk Petrified Wood
<block:tfc:ore/petrified_wood/chert>, Chert Petrified Wood
<block:tfc:ore/petrified_wood/claystone>, Claystone Petrified Wood
<block:tfc:ore/petrified_wood/conglomerate>, Conglomerate Petrified Wood
<block:tfc:ore/petrified_wood/dacite>, Dacite Petrified Wood
<block:tfc:ore/petrified_wood/diorite>, Diorite Petrified Wood
<block:tfc:ore/petrified_wood/dolomite>, Dolomite Petrified Wood
<block:tfc:ore/petrified_wood/gabbro>, Gabbro Petrified Wood
<block:tfc:ore/petrified_wood/gneiss>, Gneiss Petrified Wood
<block:tfc:ore/petrified_wood/granite>, Granite Petrified Wood
<block:tfc:ore/petrified_wood/limestone>, Limestone Petrified Wood
<block:tfc:ore/petrified_wood/marble>, Marble Petrified Wood
<block:tfc:ore/petrified_wood/phyllite>, Phyllite Petrified Wood
<block:tfc:ore/petrified_wood/quartzite>, Quartzite Petrified Wood
<block:tfc:ore/petrified_wood/rhyolite>, Rhyolite Petrified Wood
<block:tfc:ore/petrified_wood/rocksalt>, Rocksalt Petrified Wood
<block:tfc:ore/petrified_wood/schist>, Schist Petrified Wood
<block:tfc:ore/petrified_wood/shale>, Shale Petrified Wood
<block:tfc:ore/petrified_wood/slate>, Slate Petrified Wood
<block:tfc:ore/pitchblende/andesite>, Andesite Pitchblende
<block:tfc:ore/pitchblende/basalt>, Basalt Pitchblende
<block:tfc:ore/pitchblende/chalk>, Chalk Pitchblende
<block:tfc:ore/pitchblende/chert>, Chert Pitchblende
<block:tfc:ore/pitchblende/claystone>, Claystone Pitchblende
<block:tfc:ore/pitchblende/conglomerate>, Conglomerate Pitchblende
<block:tfc:ore/pitchblende/dacite>, Dacite Pitchblende
<block:tfc:ore/pitchblende/diorite>, Diorite Pitchblende
<block:tfc:ore/pitchblende/dolomite>, Dolomite Pitchblende
<block:tfc:ore/pitchblende/gabbro>, Gabbro Pitchblende
<block:tfc:ore/pitchblende/gneiss>, Gneiss Pitchblende
<block:tfc:ore/pitchblende/granite>, Granite Pitchblende
<block:tfc:ore/pitchblende/limestone>, Limestone Pitchblende
<block:tfc:ore/pitchblende/marble>, Marble Pitchblende
<block:tfc:ore/pitchblende/phyllite>, Phyllite Pitchblende
<block:tfc:ore/pitchblende/quartzite>, Quartzite Pitchblende
<block:tfc:ore/pitchblende/rhyolite>, Rhyolite Pitchblende
<block:tfc:ore/pitchblende/rocksalt>, Rocksalt Pitchblende
<block:tfc:ore/pitchblende/schist>, Schist Pitchblende
<block:tfc:ore/pitchblende/shale>, Shale Pitchblende
<block:tfc:ore/pitchblende/slate>, Slate Pitchblende
<block:tfc:ore/pyrolusite/andesite>, Pyrolusite Andesite
<block:tfc:ore/pyrolusite/basalt>, Pyrolusite Basalt
<block:tfc:ore/pyrolusite/chalk>, Pyrolusite Chalk
<block:tfc:ore/pyrolusite/chert>, Pyrolusite Chert
<block:tfc:ore/pyrolusite/claystone>, Pyrolusite Claystone
<block:tfc:ore/pyrolusite/conglomerate>, Pyrolusite Conglomerate
<block:tfc:ore/pyrolusite/dacite>, Pyrolusite Dacite
<block:tfc:ore/pyrolusite/diorite>, Pyrolusite Diorite
<block:tfc:ore/pyrolusite/dolomite>, Pyrolusite Dolomite
<block:tfc:ore/pyrolusite/gabbro>, Pyrolusite Gabbro
<block:tfc:ore/pyrolusite/gneiss>, Pyrolusite Gneiss
<block:tfc:ore/pyrolusite/granite>, Pyrolusite Granite
<block:tfc:ore/pyrolusite/limestone>, Pyrolusite Limestone
<block:tfc:ore/pyrolusite/marble>, Pyrolusite Marble
<block:tfc:ore/pyrolusite/phyllite>, Pyrolusite Phyllite
<block:tfc:ore/pyrolusite/quartzite>, Pyrolusite Quartzite
<block:tfc:ore/pyrolusite/rhyolite>, Pyrolusite Rhyolite
<block:tfc:ore/pyrolusite/rocksalt>, Pyrolusite Rocksalt
<block:tfc:ore/pyrolusite/schist>, Pyrolusite Schist
<block:tfc:ore/pyrolusite/shale>, Pyrolusite Shale
<block:tfc:ore/pyrolusite/slate>, Pyrolusite Slate
<block:tfc:ore/rhodochrosite/andesite>, Rhodochrosite Andesite
<block:tfc:ore/rhodochrosite/basalt>, Rhodochrosite Basalt
<block:tfc:ore/rhodochrosite/chalk>, Rhodochrosite Chalk
<block:tfc:ore/rhodochrosite/chert>, Rhodochrosite Chert
<block:tfc:ore/rhodochrosite/claystone>, Rhodochrosite Claystone
<block:tfc:ore/rhodochrosite/conglomerate>, Rhodochrosite Conglomerate
<block:tfc:ore/rhodochrosite/dacite>, Rhodochrosite Dacite
<block:tfc:ore/rhodochrosite/diorite>, Rhodochrosite Diorite
<block:tfc:ore/rhodochrosite/dolomite>, Rhodochrosite Dolomite
<block:tfc:ore/rhodochrosite/gabbro>, Rhodochrosite Gabbro
<block:tfc:ore/rhodochrosite/gneiss>, Rhodochrosite Gneiss
<block:tfc:ore/rhodochrosite/granite>, Rhodochrosite Granite
<block:tfc:ore/rhodochrosite/limestone>, Rhodochrosite Limestone
<block:tfc:ore/rhodochrosite/marble>, Rhodochrosite Marble
<block:tfc:ore/rhodochrosite/phyllite>, Rhodochrosite Phyllite
<block:tfc:ore/rhodochrosite/quartzite>, Rhodochrosite Quartzite
<block:tfc:ore/rhodochrosite/rhyolite>, Rhodochrosite Rhyolite
<block:tfc:ore/rhodochrosite/rocksalt>, Rhodochrosite Rocksalt
<block:tfc:ore/rhodochrosite/schist>, Rhodochrosite Schist
<block:tfc:ore/rhodochrosite/shale>, Rhodochrosite Shale
<block:tfc:ore/rhodochrosite/slate>, Rhodochrosite Slate
<block:tfc:ore/rutile/andesite>, Rutile Andesite
<block:tfc:ore/rutile/basalt>, Rutile Basalt
<block:tfc:ore/rutile/chalk>, Rutile Chalk
<block:tfc:ore/rutile/chert>, Rutile Chert
<block:tfc:ore/rutile/claystone>, Rutile Claystone
<block:tfc:ore/rutile/conglomerate>, Rutile Conglomerate
<block:tfc:ore/rutile/dacite>, Rutile Dacite
<block:tfc:ore/rutile/diorite>, Rutile Diorite
<block:tfc:ore/rutile/dolomite>, Rutile Dolomite
<block:tfc:ore/rutile/gabbro>, Rutile Gabbro
<block:tfc:ore/rutile/gneiss>, Rutile Gneiss
<block:tfc:ore/rutile/granite>, Rutile Granite
<block:tfc:ore/rutile/limestone>, Rutile Limestone
<block:tfc:ore/rutile/marble>, Rutile Marble
<block:tfc:ore/rutile/phyllite>, Rutile Phyllite
<block:tfc:ore/rutile/quartzite>, Rutile Quartzite
<block:tfc:ore/rutile/rhyolite>, Rutile Rhyolite
<block:tfc:ore/rutile/rocksalt>, Rutile Rocksalt
<block:tfc:ore/rutile/schist>, Rutile Schist
<block:tfc:ore/rutile/shale>, Rutile Shale
<block:tfc:ore/rutile/slate>, Rutile Slate
<block:tfc:ore/saltpeter/andesite>, Andesite Saltpeter
<block:tfc:ore/saltpeter/basalt>, Basalt Saltpeter
<block:tfc:ore/saltpeter/chalk>, Chalk Saltpeter
<block:tfc:ore/saltpeter/chert>, Chert Saltpeter
<block:tfc:ore/saltpeter/claystone>, Claystone Saltpeter
<block:tfc:ore/saltpeter/conglomerate>, Conglomerate Saltpeter
<block:tfc:ore/saltpeter/dacite>, Dacite Saltpeter
<block:tfc:ore/saltpeter/diorite>, Diorite Saltpeter
<block:tfc:ore/saltpeter/dolomite>, Dolomite Saltpeter
<block:tfc:ore/saltpeter/gabbro>, Gabbro Saltpeter
<block:tfc:ore/saltpeter/gneiss>, Gneiss Saltpeter
<block:tfc:ore/saltpeter/granite>, Granite Saltpeter
<block:tfc:ore/saltpeter/limestone>, Limestone Saltpeter
<block:tfc:ore/saltpeter/marble>, Marble Saltpeter
<block:tfc:ore/saltpeter/phyllite>, Phyllite Saltpeter
<block:tfc:ore/saltpeter/quartzite>, Quartzite Saltpeter
<block:tfc:ore/saltpeter/rhyolite>, Rhyolite Saltpeter
<block:tfc:ore/saltpeter/rocksalt>, Rocksalt Saltpeter
<block:tfc:ore/saltpeter/schist>, Schist Saltpeter
<block:tfc:ore/saltpeter/shale>, Shale Saltpeter
<block:tfc:ore/saltpeter/slate>, Slate Saltpeter
<block:tfc:ore/satinspar/andesite>, Andesite Satinspar
<block:tfc:ore/satinspar/basalt>, Basalt Satinspar
<block:tfc:ore/satinspar/chalk>, Chalk Satinspar
<block:tfc:ore/satinspar/chert>, Chert Satinspar
<block:tfc:ore/satinspar/claystone>, Claystone Satinspar
<block:tfc:ore/satinspar/conglomerate>, Conglomerate Satinspar
<block:tfc:ore/satinspar/dacite>, Dacite Satinspar
<block:tfc:ore/satinspar/diorite>, Diorite Satinspar
<block:tfc:ore/satinspar/dolomite>, Dolomite Satinspar
<block:tfc:ore/satinspar/gabbro>, Gabbro Satinspar
<block:tfc:ore/satinspar/gneiss>, Gneiss Satinspar
<block:tfc:ore/satinspar/granite>, Granite Satinspar
<block:tfc:ore/satinspar/limestone>, Limestone Satinspar
<block:tfc:ore/satinspar/marble>, Marble Satinspar
<block:tfc:ore/satinspar/phyllite>, Phyllite Satinspar
<block:tfc:ore/satinspar/quartzite>, Quartzite Satinspar
<block:tfc:ore/satinspar/rhyolite>, Rhyolite Satinspar
<block:tfc:ore/satinspar/rocksalt>, Rocksalt Satinspar
<block:tfc:ore/satinspar/schist>, Schist Satinspar
<block:tfc:ore/satinspar/shale>, Shale Satinspar
<block:tfc:ore/satinspar/slate>, Slate Satinspar
<block:tfc:ore/selenite/andesite>, Andesite Selenite
<block:tfc:ore/selenite/basalt>, Basalt Selenite
<block:tfc:ore/selenite/chalk>, Chalk Selenite
<block:tfc:ore/selenite/chert>, Chert Selenite
<block:tfc:ore/selenite/claystone>, Claystone Selenite
<block:tfc:ore/selenite/conglomerate>, Conglomerate Selenite
<block:tfc:ore/selenite/dacite>, Dacite Selenite
<block:tfc:ore/selenite/diorite>, Diorite Selenite
<block:tfc:ore/selenite/dolomite>, Dolomite Selenite
<block:tfc:ore/selenite/gabbro>, Gabbro Selenite
<block:tfc:ore/selenite/gneiss>, Gneiss Selenite
<block:tfc:ore/selenite/granite>, Granite Selenite
<block:tfc:ore/selenite/limestone>, Limestone Selenite
<block:tfc:ore/selenite/marble>, Marble Selenite
<block:tfc:ore/selenite/phyllite>, Phyllite Selenite
<block:tfc:ore/selenite/quartzite>, Quartzite Selenite
<block:tfc:ore/selenite/rhyolite>, Rhyolite Selenite
<block:tfc:ore/selenite/rocksalt>, Rocksalt Selenite
<block:tfc:ore/selenite/schist>, Schist Selenite
<block:tfc:ore/selenite/shale>, Shale Selenite
<block:tfc:ore/selenite/slate>, Slate Selenite
<block:tfc:ore/serpentine/andesite>, Andesite Serpentine
<block:tfc:ore/serpentine/basalt>, Basalt Serpentine
<block:tfc:ore/serpentine/chalk>, Chalk Serpentine
<block:tfc:ore/serpentine/chert>, Chert Serpentine
<block:tfc:ore/serpentine/claystone>, Claystone Serpentine
<block:tfc:ore/serpentine/conglomerate>, Conglomerate Serpentine
<block:tfc:ore/serpentine/dacite>, Dacite Serpentine
<block:tfc:ore/serpentine/diorite>, Diorite Serpentine
<block:tfc:ore/serpentine/dolomite>, Dolomite Serpentine
<block:tfc:ore/serpentine/gabbro>, Gabbro Serpentine
<block:tfc:ore/serpentine/gneiss>, Gneiss Serpentine
<block:tfc:ore/serpentine/granite>, Granite Serpentine
<block:tfc:ore/serpentine/limestone>, Limestone Serpentine
<block:tfc:ore/serpentine/marble>, Marble Serpentine
<block:tfc:ore/serpentine/phyllite>, Phyllite Serpentine
<block:tfc:ore/serpentine/quartzite>, Quartzite Serpentine
<block:tfc:ore/serpentine/rhyolite>, Rhyolite Serpentine
<block:tfc:ore/serpentine/rocksalt>, Rocksalt Serpentine
<block:tfc:ore/serpentine/schist>, Schist Serpentine
<block:tfc:ore/serpentine/shale>, Shale Serpentine
<block:tfc:ore/serpentine/slate>, Slate Serpentine
<block:tfc:ore/sphalerite/andesite>, Andesite Sphalerite
<block:tfc:ore/sphalerite/basalt>, Basalt Sphalerite
<block:tfc:ore/sphalerite/chalk>, Chalk Sphalerite
<block:tfc:ore/sphalerite/chert>, Chert Sphalerite
<block:tfc:ore/sphalerite/claystone>, Claystone Sphalerite
<block:tfc:ore/sphalerite/conglomerate>, Conglomerate Sphalerite
<block:tfc:ore/sphalerite/dacite>, Dacite Sphalerite
<block:tfc:ore/sphalerite/diorite>, Diorite Sphalerite
<block:tfc:ore/sphalerite/dolomite>, Dolomite Sphalerite
<block:tfc:ore/sphalerite/gabbro>, Gabbro Sphalerite
<block:tfc:ore/sphalerite/gneiss>, Gneiss Sphalerite
<block:tfc:ore/sphalerite/granite>, Granite Sphalerite
<block:tfc:ore/sphalerite/limestone>, Limestone Sphalerite
<block:tfc:ore/sphalerite/marble>, Marble Sphalerite
<block:tfc:ore/sphalerite/phyllite>, Phyllite Sphalerite
<block:tfc:ore/sphalerite/quartzite>, Quartzite Sphalerite
<block:tfc:ore/sphalerite/rhyolite>, Rhyolite Sphalerite
<block:tfc:ore/sphalerite/rocksalt>, Rocksalt Sphalerite
<block:tfc:ore/sphalerite/schist>, Schist Sphalerite
<block:tfc:ore/sphalerite/shale>, Shale Sphalerite
<block:tfc:ore/sphalerite/slate>, Slate Sphalerite
<block:tfc:ore/spodumene/andesite>, Spodumene Andesite
<block:tfc:ore/spodumene/basalt>, Spodumene Basalt
<block:tfc:ore/spodumene/chalk>, Spodumene Chalk
<block:tfc:ore/spodumene/chert>, Spodumene Chert
<block:tfc:ore/spodumene/claystone>, Spodumene Claystone
<block:tfc:ore/spodumene/conglomerate>, Spodumene Conglomerate
<block:tfc:ore/spodumene/dacite>, Spodumene Dacite
<block:tfc:ore/spodumene/diorite>, Spodumene Diorite
<block:tfc:ore/spodumene/dolomite>, Spodumene Dolomite
<block:tfc:ore/spodumene/gabbro>, Spodumene Gabbro
<block:tfc:ore/spodumene/gneiss>, Spodumene Gneiss
<block:tfc:ore/spodumene/granite>, Spodumene Granite
<block:tfc:ore/spodumene/limestone>, Spodumene Limestone
<block:tfc:ore/spodumene/marble>, Spodumene Marble
<block:tfc:ore/spodumene/phyllite>, Spodumene Phyllite
<block:tfc:ore/spodumene/quartzite>, Spodumene Quartzite
<block:tfc:ore/spodumene/rhyolite>, Spodumene Rhyolite
<block:tfc:ore/spodumene/rocksalt>, Spodumene Rocksalt
<block:tfc:ore/spodumene/schist>, Spodumene Schist
<block:tfc:ore/spodumene/shale>, Spodumene Shale
<block:tfc:ore/spodumene/slate>, Spodumene Slate
<block:tfc:ore/stibnite/andesite>, Stibnite Andesite
<block:tfc:ore/stibnite/basalt>, Stibnite Basalt
<block:tfc:ore/stibnite/chalk>, Stibnite Chalk
<block:tfc:ore/stibnite/chert>, Stibnite Chert
<block:tfc:ore/stibnite/claystone>, Stibnite Claystone
<block:tfc:ore/stibnite/conglomerate>, Stibnite Conglomerate
<block:tfc:ore/stibnite/dacite>, Stibnite Dacite
<block:tfc:ore/stibnite/diorite>, Stibnite Diorite
<block:tfc:ore/stibnite/dolomite>, Stibnite Dolomite
<block:tfc:ore/stibnite/gabbro>, Stibnite Gabbro
<block:tfc:ore/stibnite/gneiss>, Stibnite Gneiss
<block:tfc:ore/stibnite/granite>, Stibnite Granite
<block:tfc:ore/stibnite/limestone>, Stibnite Limestone
<block:tfc:ore/stibnite/marble>, Stibnite Marble
<block:tfc:ore/stibnite/phyllite>, Stibnite Phyllite
<block:tfc:ore/stibnite/quartzite>, Stibnite Quartzite
